date,coast,species_code,species_name,obs_freq,ind_count,windspeed
2024-12-27,East,norpin,Northern Pintail,0,0,9.5
2024-12-27,East,eurwig,Eurasian Wigeon,0,0,9.5
2024-12-27,East,gadwal1,Gadwall,0,0,9.5
2024-12-27,West,norsho,Northern Shoveler,1,1,9.5
2024-12-27,West,commer,Common Merganser,0,0,9.5
2024-12-27,West,tufduc,Tufted Duck,1,15,9.5
2024-12-27,West,compocha,Common Pochard,0,0,9.5
2024-12-27,West,norpin,Northern Pintail,1,50,9.5
2024-12-27,West,eurwig,Eurasian Wigeon,1,1,9.5
2024-12-27,West,gadwal1,Gadwall,0,0,9.5
2024-12-27,West,mallar3,Mallard,1,1,9.5
2024-12-27,West,comeid,Common Eider,0,0,9.5
2024-11-06,East,gadwal1,Gadwall,0,0,10.2
2024-11-06,East,norsho,Northern Shoveler,0,0,10.2
2024-11-06,East,comeid,Common Eider,0,0,10.2
2024-11-06,East,commer,Common Merganser,0,0,10.2
2024-11-06,East,tufduc,Tufted Duck,0,0,10.2
2024-11-06,East,norpin,Northern Pintail,0,0,10.2
2024-11-06,East,eurwig,Eurasian Wigeon,0,0,10.2
2024-11-06,East,mallar3,Mallard,0,0,10.2
2024-11-06,East,compocha,Common Pochard,0,0,10.2
2024-11-06,West,comeid,Common Eider,1,34,10.2
2024-11-06,West,gadwal1,Gadwall,0,0,10.2
2024-11-06,West,eurwig,Eurasian Wigeon,0,0,10.2
2024-11-06,West,norpin,Northern Pintail,0,0,10.2
2024-11-06,West,mallar3,Mallard,1,11,10.2
2024-11-06,West,compocha,Common Pochard,0,0,10.2
2024-11-06,West,tufduc,Tufted Duck,1,7,10.2
2024-11-06,West,commer,Common Merganser,0,0,10.2
2024-11-06,West,norsho,Northern Shoveler,0,0,10.2
2024-10-05,East,gadwal1,Gadwall,0,0,10.9
2024-10-05,East,norsho,Northern Shoveler,0,0,10.9
2024-10-05,East,comeid,Common Eider,0,0,10.9
2024-10-05,East,commer,Common Merganser,0,0,10.9
2024-10-05,East,tufduc,Tufted Duck,0,0,10.9
2024-10-05,East,norpin,Northern Pintail,0,0,10.9
2024-10-05,East,eurwig,Eurasian Wigeon,0,0,10.9
2024-10-05,East,mallar3,Mallard,0,0,10.9
2024-10-05,East,compocha,Common Pochard,0,0,10.9
2024-10-05,West,comeid,Common Eider,0,0,10.9
2024-10-05,West,norsho,Northern Shoveler,1,1,10.9
2024-10-05,West,gadwal1,Gadwall,0,0,10.9
2024-10-05,West,eurwig,Eurasian Wigeon,1,10,10.9
2024-10-05,West,norpin,Northern Pintail,1,1,10.9
2024-10-05,West,mallar3,Mallard,1,1,10.9
2024-10-05,West,compocha,Common Pochard,0,0,10.9
2024-10-05,West,tufduc,Tufted Duck,1,15,10.9
2024-10-05,West,commer,Common Merganser,0,0,10.9
2024-12-12,West,norsho,Northern Shoveler,0,0,11.0
2024-12-12,West,norpin,Northern Pintail,0,0,11.0
2024-12-12,West,compocha,Common Pochard,0,0,11.0
2024-12-12,West,tufduc,Tufted Duck,0,0,11.0
2024-12-12,West,commer,Common Merganser,0,0,11.0
2024-12-12,West,comeid,Common Eider,0,0,11.0
2024-12-12,West,eurwig,Eurasian Wigeon,0,0,11.0
2024-12-12,East,norsho,Northern Shoveler,0,0,11.0
2024-12-12,East,norpin,Northern Pintail,0,0,11.0
2024-12-12,East,gadwal1,Gadwall,0,0,11.0
2024-12-12,East,eurwig,Eurasian Wigeon,0,0,11.0
2024-12-12,East,compocha,Common Pochard,0,0,11.0
2024-12-12,East,tufduc,Tufted Duck,0,0,11.0
2024-12-12,East,commer,Common Merganser,0,0,11.0
2024-12-12,East,comeid,Common Eider,0,0,11.0
2024-12-12,West,gadwal1,Gadwall,0,0,11.0
2024-12-12,East,mallar3,Mallard,0,0,11.0
2024-12-12,West,mallar3,Mallard,0,0,11.0
2024-01-10,West,norsho,Northern Shoveler,0,0,11.0
2024-01-10,East,comeid,Common Eider,0,0,11.0
2024-01-10,West,mallar3,Mallard,0,0,11.0
2024-01-10,West,gadwal1,Gadwall,0,0,11.0
2024-01-10,West,eurwig,Eurasian Wigeon,0,0,11.0
2024-01-10,East,norsho,Northern Shoveler,0,0,11.0
2024-01-10,West,compocha,Common Pochard,0,0,11.0
2024-01-10,West,tufduc,Tufted Duck,0,0,11.0
2024-01-10,West,commer,Common Merganser,0,0,11.0
2024-01-10,West,norpin,Northern Pintail,0,0,11.0
2024-01-10,East,mallar3,Mallard,0,0,11.0
2024-01-10,East,gadwal1,Gadwall,0,0,11.0
2024-01-10,East,eurwig,Eurasian Wigeon,0,0,11.0
2024-01-10,East,norpin,Northern Pintail,0,0,11.0
2024-01-10,East,compocha,Common Pochard,0,0,11.0
2024-01-10,East,tufduc,Tufted Duck,0,0,11.0
2024-01-10,East,commer,Common Merganser,0,0,11.0
2024-01-10,West,comeid,Common Eider,0,0,11.0
2024-11-05,East,eurwig,Eurasian Wigeon,0,0,11.1
2024-11-05,East,norpin,Northern Pintail,0,0,11.1
2024-11-05,East,compocha,Common Pochard,0,0,11.1
2024-11-05,East,norsho,Northern Shoveler,0,0,11.1
2024-11-05,East,commer,Common Merganser,0,0,11.1
2024-11-05,East,comeid,Common Eider,0,0,11.1
2024-11-05,East,gadwal1,Gadwall,0,0,11.1
2024-11-05,East,tufduc,Tufted Duck,0,0,11.1
2024-11-05,East,mallar3,Mallard,0,0,11.1
2024-11-05,West,norpin,Northern Pintail,0,0,11.1
2024-11-05,West,comeid,Common Eider,0,0,11.1
2024-11-05,West,commer,Common Merganser,0,0,11.1
2024-11-05,West,tufduc,Tufted Duck,0,0,11.1
2024-11-05,West,compocha,Common Pochard,0,0,11.1
2024-11-05,West,norsho,Northern Shoveler,1,8,11.1
2024-11-05,West,eurwig,Eurasian Wigeon,1,600,11.1
2024-11-05,West,gadwal1,Gadwall,0,0,11.1
2024-11-05,West,mallar3,Mallard,0,0,11.1
2024-08-19,East,norsho,Northern Shoveler,0,0,11.2
2024-08-19,East,comeid,Common Eider,0,0,11.2
2024-08-19,East,commer,Common Merganser,0,0,11.2
2024-08-19,East,tufduc,Tufted Duck,0,0,11.2
2024-08-19,East,norpin,Northern Pintail,0,0,11.2
2024-08-19,East,eurwig,Eurasian Wigeon,0,0,11.2
2024-08-19,East,gadwal1,Gadwall,0,0,11.2
2024-08-19,East,mallar3,Mallard,0,0,11.2
2024-08-19,East,compocha,Common Pochard,0,0,11.2
2024-08-19,West,comeid,Common Eider,1,3,11.2
2024-08-19,West,commer,Common Merganser,0,0,11.2
2024-08-19,West,tufduc,Tufted Duck,1,9,11.2
2024-08-19,West,compocha,Common Pochard,0,0,11.2
2024-08-19,West,norpin,Northern Pintail,0,0,11.2
2024-08-19,West,eurwig,Eurasian Wigeon,0,0,11.2
2024-08-19,West,gadwal1,Gadwall,0,0,11.2
2024-08-19,West,mallar3,Mallard,1,50,11.2
2024-08-19,West,norsho,Northern Shoveler,1,20,11.2
2024-10-04,West,eurwig,Eurasian Wigeon,1,1500,11.8
2024-10-04,West,norpin,Northern Pintail,1,1,11.8
2024-10-04,West,compocha,Common Pochard,0,0,11.8
2024-10-04,West,tufduc,Tufted Duck,1,1,11.8
2024-10-04,West,commer,Common Merganser,0,0,11.8
2024-10-04,West,comeid,Common Eider,1,10,11.8
2024-10-04,West,norsho,Northern Shoveler,1,1,11.8
2024-10-04,East,compocha,Common Pochard,0,0,11.8
2024-10-04,East,gadwal1,Gadwall,0,0,11.8
2024-10-04,East,eurwig,Eurasian Wigeon,1,300,11.8
2024-10-04,East,norpin,Northern Pintail,1,4,11.8
2024-10-04,East,tufduc,Tufted Duck,1,40,11.8
2024-10-04,East,commer,Common Merganser,1,12,11.8
2024-10-04,East,comeid,Common Eider,0,0,11.8
2024-10-04,West,gadwal1,Gadwall,0,0,11.8
2024-10-04,East,mallar3,Mallard,1,200,11.8
2024-10-04,West,mallar3,Mallard,1,1,11.8
2024-10-04,East,norsho,Northern Shoveler,1,15,11.8
2024-07-27,East,comeid,Common Eider,0,0,11.8
2024-07-27,East,norsho,Northern Shoveler,0,0,11.8
2024-07-27,West,mallar3,Mallard,1,6,11.8
2024-07-27,West,gadwal1,Gadwall,0,0,11.8
2024-07-27,West,eurwig,Eurasian Wigeon,1,4,11.8
2024-07-27,West,compocha,Common Pochard,0,0,11.8
2024-07-27,West,tufduc,Tufted Duck,1,35,11.8
2024-07-27,West,commer,Common Merganser,0,0,11.8
2024-07-27,West,comeid,Common Eider,0,0,11.8
2024-07-27,West,norpin,Northern Pintail,0,0,11.8
2024-07-27,East,mallar3,Mallard,1,7,11.8
2024-07-27,East,gadwal1,Gadwall,0,0,11.8
2024-07-27,East,eurwig,Eurasian Wigeon,0,0,11.8
2024-07-27,East,norpin,Northern Pintail,0,0,11.8
2024-07-27,East,compocha,Common Pochard,0,0,11.8
2024-07-27,East,tufduc,Tufted Duck,0,0,11.8
2024-07-27,East,commer,Common Merganser,1,3,11.8
2024-07-27,West,norsho,Northern Shoveler,1,11,11.8
2024-11-13,East,eurwig,Eurasian Wigeon,0,0,12.0
2024-11-13,East,norpin,Northern Pintail,0,0,12.0
2024-11-13,East,compocha,Common Pochard,0,0,12.0
2024-11-13,East,norsho,Northern Shoveler,0,0,12.0
2024-11-13,East,commer,Common Merganser,0,0,12.0
2024-11-13,East,comeid,Common Eider,0,0,12.0
2024-11-13,East,gadwal1,Gadwall,0,0,12.0
2024-11-13,East,tufduc,Tufted Duck,0,0,12.0
2024-11-13,East,mallar3,Mallard,0,0,12.0
2024-11-13,West,norsho,Northern Shoveler,0,0,12.0
2024-11-13,West,comeid,Common Eider,0,0,12.0
2024-11-13,West,commer,Common Merganser,0,0,12.0
2024-11-13,West,tufduc,Tufted Duck,0,0,12.0
2024-11-13,West,compocha,Common Pochard,0,0,12.0
2024-11-13,West,norpin,Northern Pintail,0,0,12.0
2024-11-13,West,eurwig,Eurasian Wigeon,0,0,12.0
2024-11-13,West,gadwal1,Gadwall,0,0,12.0
2024-11-13,West,mallar3,Mallard,0,0,12.0
2024-10-26,West,eurwig,Eurasian Wigeon,1,100,12.1
2024-10-26,West,norpin,Northern Pintail,1,300,12.1
2024-10-26,West,compocha,Common Pochard,0,0,12.1
2024-10-26,West,tufduc,Tufted Duck,1,5,12.1
2024-10-26,West,commer,Common Merganser,0,0,12.1
2024-10-26,West,comeid,Common Eider,0,0,12.1
2024-10-26,West,norsho,Northern Shoveler,1,5,12.1
2024-10-26,East,mallar3,Mallard,1,180,12.1
2024-10-26,East,compocha,Common Pochard,0,0,12.1
2024-10-26,East,eurwig,Eurasian Wigeon,1,230,12.1
2024-10-26,East,norpin,Northern Pintail,1,4,12.1
2024-10-26,West,gadwal1,Gadwall,0,0,12.1
2024-10-26,East,norsho,Northern Shoveler,1,3,12.1
2024-10-26,East,tufduc,Tufted Duck,0,0,12.1
2024-10-26,East,commer,Common Merganser,0,0,12.1
2024-10-26,East,comeid,Common Eider,1,150,12.1
2024-10-26,East,gadwal1,Gadwall,0,0,12.1
2024-10-26,West,mallar3,Mallard,1,10,12.1
2024-11-12,West,norpin,Northern Pintail,1,6,12.1
2024-11-12,East,comeid,Common Eider,0,0,12.1
2024-11-12,West,mallar3,Mallard,1,4,12.1
2024-11-12,West,gadwal1,Gadwall,0,0,12.1
2024-11-12,West,eurwig,Eurasian Wigeon,1,22,12.1
2024-11-12,East,norsho,Northern Shoveler,0,0,12.1
2024-11-12,West,tufduc,Tufted Duck,1,10,12.1
2024-11-12,West,commer,Common Merganser,1,4,12.1
2024-11-12,West,comeid,Common Eider,0,0,12.1
2024-11-12,West,compocha,Common Pochard,0,0,12.1
2024-11-12,East,mallar3,Mallard,0,0,12.1
2024-11-12,East,gadwal1,Gadwall,0,0,12.1
2024-11-12,East,eurwig,Eurasian Wigeon,0,0,12.1
2024-11-12,East,norpin,Northern Pintail,0,0,12.1
2024-11-12,East,compocha,Common Pochard,0,0,12.1
2024-11-12,East,tufduc,Tufted Duck,0,0,12.1
2024-11-12,East,commer,Common Merganser,0,0,12.1
2024-11-12,West,norsho,Northern Shoveler,1,12,12.1
2024-03-20,East,gadwal1,Gadwall,0,0,12.2
2024-03-20,East,comeid,Common Eider,1,2,12.2
2024-03-20,East,commer,Common Merganser,0,0,12.2
2024-03-20,East,tufduc,Tufted Duck,1,23,12.2
2024-03-20,East,compocha,Common Pochard,0,0,12.2
2024-03-20,East,norpin,Northern Pintail,1,4,12.2
2024-03-20,East,eurwig,Eurasian Wigeon,0,0,12.2
2024-03-20,East,mallar3,Mallard,1,13,12.2
2024-03-20,East,norsho,Northern Shoveler,0,0,12.2
2024-03-20,West,comeid,Common Eider,0,0,12.2
2024-03-20,West,commer,Common Merganser,0,0,12.2
2024-03-20,West,tufduc,Tufted Duck,0,0,12.2
2024-03-20,West,compocha,Common Pochard,0,0,12.2
2024-03-20,West,norpin,Northern Pintail,0,0,12.2
2024-03-20,West,eurwig,Eurasian Wigeon,0,0,12.2
2024-03-20,West,gadwal1,Gadwall,0,0,12.2
2024-03-20,West,mallar3,Mallard,0,0,12.2
2024-03-20,West,norsho,Northern Shoveler,0,0,12.2
2024-10-18,East,comeid,Common Eider,0,0,12.6
2024-10-18,East,commer,Common Merganser,0,0,12.6
2024-10-18,East,tufduc,Tufted Duck,0,0,12.6
2024-10-18,East,compocha,Common Pochard,0,0,12.6
2024-10-18,East,norpin,Northern Pintail,0,0,12.6
2024-10-18,East,eurwig,Eurasian Wigeon,0,0,12.6
2024-10-18,East,gadwal1,Gadwall,0,0,12.6
2024-10-18,West,tufduc,Tufted Duck,0,0,12.6
2024-10-18,West,norsho,Northern Shoveler,1,1,12.6
2024-10-18,West,comeid,Common Eider,1,1,12.6
2024-10-18,West,commer,Common Merganser,0,0,12.6
2024-10-18,East,norsho,Northern Shoveler,0,0,12.6
2024-10-18,West,compocha,Common Pochard,0,0,12.6
2024-10-18,West,norpin,Northern Pintail,1,60,12.6
2024-10-18,West,eurwig,Eurasian Wigeon,1,1,12.6
2024-10-18,East,mallar3,Mallard,0,0,12.6
2024-07-25,West,mallar3,Mallard,0,0,12.6
2024-07-25,West,compocha,Common Pochard,0,0,12.6
2024-07-25,West,eurwig,Eurasian Wigeon,0,0,12.6
2024-07-25,East,norsho,Northern Shoveler,0,0,12.6
2024-07-25,East,comeid,Common Eider,0,0,12.6
2024-07-25,East,commer,Common Merganser,0,0,12.6
2024-07-25,East,tufduc,Tufted Duck,0,0,12.6
2024-07-25,East,compocha,Common Pochard,0,0,12.6
2024-07-25,East,norpin,Northern Pintail,0,0,12.6
2024-07-25,East,eurwig,Eurasian Wigeon,0,0,12.6
2024-07-25,East,gadwal1,Gadwall,0,0,12.6
2024-07-25,East,mallar3,Mallard,0,0,12.6
2024-07-25,West,norsho,Northern Shoveler,0,0,12.6
2024-07-25,West,comeid,Common Eider,0,0,12.6
2024-07-25,West,commer,Common Merganser,0,0,12.6
2024-07-25,West,tufduc,Tufted Duck,0,0,12.6
2024-10-18,West,gadwal1,Gadwall,0,0,12.6
2024-07-25,West,norpin,Northern Pintail,0,0,12.6
2024-07-25,West,gadwal1,Gadwall,0,0,12.6
2024-10-18,West,mallar3,Mallard,1,21,12.6
2024-01-09,East,norsho,Northern Shoveler,0,0,12.6
2024-01-09,East,comeid,Common Eider,0,0,12.6
2024-03-02,East,tufduc,Tufted Duck,0,0,12.6
2024-03-02,East,norpin,Northern Pintail,0,0,12.6
2024-03-02,East,eurwig,Eurasian Wigeon,0,0,12.6
2024-03-02,East,gadwal1,Gadwall,0,0,12.6
2024-03-02,East,mallar3,Mallard,0,0,12.6
2024-03-02,West,norsho,Northern Shoveler,1,11,12.6
2024-03-02,East,commer,Common Merganser,0,0,12.6
2024-03-02,West,comeid,Common Eider,1,1,12.6
2024-03-02,West,tufduc,Tufted Duck,1,28,12.6
2024-03-02,West,compocha,Common Pochard,0,0,12.6
2024-03-02,West,norpin,Northern Pintail,1,3,12.6
2024-03-02,West,eurwig,Eurasian Wigeon,1,203,12.6
2024-03-02,West,gadwal1,Gadwall,0,0,12.6
2024-03-02,West,mallar3,Mallard,1,3,12.6
2024-03-02,West,commer,Common Merganser,0,0,12.6
2024-03-02,East,comeid,Common Eider,0,0,12.6
2024-03-02,East,compocha,Common Pochard,0,0,12.6
2024-01-09,West,mallar3,Mallard,0,0,12.6
2024-01-09,East,commer,Common Merganser,0,0,12.6
2024-01-09,East,tufduc,Tufted Duck,0,0,12.6
2024-01-09,East,compocha,Common Pochard,0,0,12.6
2024-01-09,East,norpin,Northern Pintail,0,0,12.6
2024-03-02,East,norsho,Northern Shoveler,0,0,12.6
2024-01-09,East,gadwal1,Gadwall,0,0,12.6
2024-01-09,East,mallar3,Mallard,0,0,12.6
2024-01-09,West,norsho,Northern Shoveler,0,0,12.6
2024-01-09,East,eurwig,Eurasian Wigeon,0,0,12.6
2024-01-09,West,commer,Common Merganser,0,0,12.6
2024-01-09,West,tufduc,Tufted Duck,0,0,12.6
2024-01-09,West,compocha,Common Pochard,0,0,12.6
2024-01-09,West,norpin,Northern Pintail,0,0,12.6
2024-01-09,West,eurwig,Eurasian Wigeon,0,0,12.6
2024-01-09,West,gadwal1,Gadwall,0,0,12.6
2024-01-09,West,comeid,Common Eider,0,0,12.6
2024-09-29,East,gadwal1,Gadwall,0,0,12.7
2024-09-29,East,norsho,Northern Shoveler,1,25,12.7
2024-09-29,East,comeid,Common Eider,1,3,12.7
2024-09-29,East,commer,Common Merganser,1,3,12.7
2024-09-29,East,tufduc,Tufted Duck,1,25,12.7
2024-09-29,East,compocha,Common Pochard,0,0,12.7
2024-09-29,East,norpin,Northern Pintail,1,20,12.7
2024-09-29,East,eurwig,Eurasian Wigeon,1,150,12.7
2024-09-29,East,mallar3,Mallard,1,1,12.7
2024-09-29,West,compocha,Common Pochard,0,0,12.7
2024-09-29,West,comeid,Common Eider,1,2,12.7
2024-09-29,West,commer,Common Merganser,0,0,12.7
2024-09-29,West,tufduc,Tufted Duck,1,1,12.7
2024-09-29,West,norpin,Northern Pintail,1,1,12.7
2024-09-29,West,eurwig,Eurasian Wigeon,1,1,12.7
2024-09-29,West,gadwal1,Gadwall,0,0,12.7
2024-09-29,West,mallar3,Mallard,1,1,12.7
2024-09-29,West,norsho,Northern Shoveler,1,1,12.7
2024-11-04,West,eurwig,Eurasian Wigeon,0,0,12.9
2024-11-04,West,norpin,Northern Pintail,0,0,12.9
2024-11-04,West,compocha,Common Pochard,0,0,12.9
2024-11-04,West,tufduc,Tufted Duck,0,0,12.9
2024-11-04,West,commer,Common Merganser,0,0,12.9
2024-11-04,West,comeid,Common Eider,0,0,12.9
2024-11-04,West,norsho,Northern Shoveler,0,0,12.9
2024-11-04,East,norpin,Northern Pintail,0,0,12.9
2024-11-04,East,gadwal1,Gadwall,0,0,12.9
2024-11-04,East,eurwig,Eurasian Wigeon,0,0,12.9
2024-11-04,West,gadwal1,Gadwall,0,0,12.9
2024-11-04,East,tufduc,Tufted Duck,0,0,12.9
2024-11-04,East,commer,Common Merganser,0,0,12.9
2024-11-04,East,comeid,Common Eider,0,0,12.9
2024-11-04,East,norsho,Northern Shoveler,0,0,12.9
2024-11-04,East,mallar3,Mallard,0,0,12.9
2024-11-04,West,mallar3,Mallard,0,0,12.9
2024-11-04,East,compocha,Common Pochard,0,0,12.9
2024-03-31,East,comeid,Common Eider,0,0,12.9
2024-03-31,West,mallar3,Mallard,1,1,12.9
2024-03-31,West,gadwal1,Gadwall,0,0,12.9
2024-03-31,West,eurwig,Eurasian Wigeon,1,1,12.9
2024-03-31,West,norpin,Northern Pintail,1,50,12.9
2024-03-31,East,norsho,Northern Shoveler,1,2,12.9
2024-03-31,West,tufduc,Tufted Duck,1,1,12.9
2024-03-31,West,commer,Common Merganser,0,0,12.9
2024-03-31,West,comeid,Common Eider,0,0,12.9
2024-03-31,West,compocha,Common Pochard,0,0,12.9
2024-03-31,East,mallar3,Mallard,1,30,12.9
2024-03-31,East,gadwal1,Gadwall,0,0,12.9
2024-03-31,East,eurwig,Eurasian Wigeon,1,25,12.9
2024-03-31,East,norpin,Northern Pintail,0,0,12.9
2024-03-31,East,compocha,Common Pochard,0,0,12.9
2024-03-31,East,tufduc,Tufted Duck,1,200,12.9
2024-03-31,East,commer,Common Merganser,0,0,12.9
2024-03-31,West,norsho,Northern Shoveler,1,3,12.9
2024-06-20,East,comeid,Common Eider,0,0,13.1
2024-06-20,East,commer,Common Merganser,0,0,13.1
2024-06-20,East,tufduc,Tufted Duck,0,0,13.1
2024-06-20,East,compocha,Common Pochard,0,0,13.1
2024-06-20,East,norpin,Northern Pintail,0,0,13.1
2024-06-20,East,eurwig,Eurasian Wigeon,0,0,13.1
2024-06-20,East,gadwal1,Gadwall,0,0,13.1
2024-06-20,West,eurwig,Eurasian Wigeon,0,0,13.1
2024-06-20,West,norsho,Northern Shoveler,0,0,13.1
2024-06-20,West,comeid,Common Eider,0,0,13.1
2024-06-20,West,commer,Common Merganser,0,0,13.1
2024-06-20,West,tufduc,Tufted Duck,0,0,13.1
2024-06-20,West,compocha,Common Pochard,0,0,13.1
2024-06-20,West,norpin,Northern Pintail,0,0,13.1
2024-06-20,East,norsho,Northern Shoveler,0,0,13.1
2024-06-20,East,mallar3,Mallard,0,0,13.1
2024-10-25,West,mallar3,Mallard,1,18,13.1
2024-10-25,East,mallar3,Mallard,1,25,13.1
2024-10-25,West,eurwig,Eurasian Wigeon,1,55,13.1
2024-06-20,West,gadwal1,Gadwall,0,0,13.1
2024-10-25,East,comeid,Common Eider,0,0,13.1
2024-10-25,East,commer,Common Merganser,1,15,13.1
2024-10-25,East,tufduc,Tufted Duck,1,15,13.1
2024-10-25,East,compocha,Common Pochard,0,0,13.1
2024-10-25,East,norsho,Northern Shoveler,0,0,13.1
2024-10-25,East,norpin,Northern Pintail,0,0,13.1
2024-10-25,East,eurwig,Eurasian Wigeon,1,12,13.1
2024-10-25,East,gadwal1,Gadwall,0,0,13.1
2024-10-25,West,norsho,Northern Shoveler,1,24,13.1
2024-10-25,West,comeid,Common Eider,1,5,13.1
2024-10-25,West,commer,Common Merganser,0,0,13.1
2024-10-25,West,tufduc,Tufted Duck,0,0,13.1
2024-10-25,West,compocha,Common Pochard,0,0,13.1
2024-10-25,West,norpin,Northern Pintail,1,2,13.1
2024-10-25,West,gadwal1,Gadwall,0,0,13.1
2024-06-20,West,mallar3,Mallard,0,0,13.1
2024-09-03,West,compocha,Common Pochard,0,0,13.1
2024-08-03,East,comeid,Common Eider,0,0,13.1
2024-09-03,East,commer,Common Merganser,0,0,13.1
2024-09-03,East,tufduc,Tufted Duck,0,0,13.1
2024-09-03,East,compocha,Common Pochard,0,0,13.1
2024-09-03,East,norpin,Northern Pintail,0,0,13.1
2024-09-03,East,eurwig,Eurasian Wigeon,0,0,13.1
2024-09-03,East,gadwal1,Gadwall,0,0,13.1
2024-09-03,East,comeid,Common Eider,0,0,13.1
2024-09-03,West,norsho,Northern Shoveler,1,1,13.1
2024-09-03,West,commer,Common Merganser,0,0,13.1
2024-09-03,West,tufduc,Tufted Duck,1,1,13.1
2024-09-03,West,norpin,Northern Pintail,1,1,13.1
2024-09-03,West,eurwig,Eurasian Wigeon,1,1,13.1
2024-09-03,West,gadwal1,Gadwall,0,0,13.1
2024-09-03,West,mallar3,Mallard,1,70,13.1
2024-09-03,West,comeid,Common Eider,0,0,13.1
2024-09-03,East,norsho,Northern Shoveler,0,0,13.1
2024-09-03,East,mallar3,Mallard,0,0,13.1
2024-08-03,West,gadwal1,Gadwall,0,0,13.1
2024-08-03,West,mallar3,Mallard,0,0,13.1
2024-08-03,East,commer,Common Merganser,0,0,13.1
2024-08-03,East,tufduc,Tufted Duck,0,0,13.1
2024-08-03,East,compocha,Common Pochard,0,0,13.1
2024-08-03,East,norpin,Northern Pintail,0,0,13.1
2024-08-03,East,eurwig,Eurasian Wigeon,0,0,13.1
2024-08-03,East,gadwal1,Gadwall,0,0,13.1
2024-08-03,East,mallar3,Mallard,0,0,13.1
2024-08-03,East,norsho,Northern Shoveler,0,0,13.1
2024-08-03,West,comeid,Common Eider,0,0,13.1
2024-08-03,West,commer,Common Merganser,0,0,13.1
2024-08-03,West,tufduc,Tufted Duck,1,1,13.1
2024-08-03,West,compocha,Common Pochard,0,0,13.1
2024-08-03,West,norpin,Northern Pintail,0,0,13.1
2024-08-03,West,eurwig,Eurasian Wigeon,0,0,13.1
2024-08-03,West,norsho,Northern Shoveler,0,0,13.1
2024-12-11,West,gadwal1,Gadwall,0,0,13.4
2024-12-11,West,eurwig,Eurasian Wigeon,0,0,13.4
2024-12-11,West,norpin,Northern Pintail,0,0,13.4
2024-12-11,West,compocha,Common Pochard,0,0,13.4
2024-12-11,West,tufduc,Tufted Duck,0,0,13.4
2024-12-11,West,commer,Common Merganser,0,0,13.4
2024-12-11,West,comeid,Common Eider,0,0,13.4
2024-12-11,West,norsho,Northern Shoveler,0,0,13.4
2024-12-11,East,norpin,Northern Pintail,0,0,13.4
2024-12-11,East,gadwal1,Gadwall,0,0,13.4
2024-12-11,East,eurwig,Eurasian Wigeon,0,0,13.4
2024-12-11,East,compocha,Common Pochard,0,0,13.4
2024-12-11,East,tufduc,Tufted Duck,0,0,13.4
2024-12-11,East,commer,Common Merganser,0,0,13.4
