Date,Country,LocationName,SpeciesCode,DuckCount
2021/03/19,Netherlands,Texel,mallar3,6
2021/03/20,Netherlands,Strijkviertelplas,mallar3,15
2021/03/21,Netherlands,"Limes 58, Elst NL-Gelderland 51.92631, 5.86750",mallar3,2
2021/03/22,Netherlands,"Arboretum Heempark, Delft NL-South Holland 52.01636, 4.37638",mallar3,2
2021/03/23,Netherlands,Sint-Oedenrode--Hildewarelaan 3,mallar3,1
2021/03/24,Netherlands,Sint-Oedenrode--Hildewarelaan 3,mallar3,3
2021/03/25,Netherlands,AA Wassenaar Centrum,mallar3,4
2021/03/26,Netherlands,"Veensteeg, Wageningen, Gelderland, NL (51.994, 5.618)",mallar3,12
2021/03/27,Netherlands,achter de sportvelden,mallar3,1
2021/03/28,Netherlands,"Achter de Kerk 4a - Geleenbeekdal, Schinnen NL-Limburg",mallar3,8
2021/03/29,Netherlands,"1183 Laan van Kronenburg, Amstelveen, Noord-Holland, NL (52.321, 4.879)",mallar3,1
2021/03/30,Netherlands,Campus Wageningen University,mallar3,2
2021/03/31,Netherlands,Violenberg,mallar3,5
2022/03/01,Netherlands,Texel--Waddenparel Utopia,mallar3,4
2022/03/02,Netherlands,"Maagdenbergweg, Oostburg",mallar3,10
2022/03/03,Netherlands,Amelisweerd,mallar3,2
2022/03/04,Netherlands,Kwakels -- Okkerse Kade,mallar3,4
2022/03/05,Netherlands,"Daleboutsweg, Burgh-Haamstede NL-Zeeland 51.68402, 3.72840",mallar3,1
2022/03/06,Netherlands,Bergermeerpolder,mallar3,1
2022/03/07,Netherlands,Amsterdam Noord,mallar3,2
2022/03/08,Netherlands,Diemer Vijfhoek,mallar3,2
2022/03/09,Netherlands,"Midden Woerd 5, Naaldwijk NL-Zuid-Holland 51.99831, 4.20615",mallar3,2
2022/03/10,Netherlands,Amsterdam--Sarphatipark,mallar3,1
2022/03/11,Netherlands,Zouweboezem,mallar3,6
2022/03/12,Netherlands,"28-26 Mandjeswaardweg, Kampen, Overijssel, NL (52.621, 5.975)",mallar3,2
2022/03/13,Netherlands,Loenderveense Plas,mallar3,1
2022/03/14,Netherlands,"1 Wim Sonneveldstraat, Wageningen, Gelderland, NL (51.98, 5.652)",mallar3,3
2022/03/15,Netherlands,Sneekermeer Griene Dyk,mallar3,1
2022/03/16,Netherlands,Golfbaan Lelystad,mallar3,3
2022/03/17,Netherlands,"Middelaar - Schiereiland, Limburg, NL (51,735, 5,901)",mallar3,24
2022/03/18,Netherlands,"Kraaijenbergse plassen--Plas 7, Linden",mallar3,1
2022/03/19,Netherlands,"Middelaar - Schiereiland, Limburg, NL (51,735, 5,901)",mallar3,25
2022/03/20,Netherlands,Tiengeboden,mallar3,1
2022/03/21,Netherlands,Goffertpark,mallar3,3
2022/03/22,Netherlands,Het Houtwiel,mallar3,1
2022/03/23,Netherlands,"Nationaal Park De Biesbosch, Dordrecht NL-Zuid-Holland 51.75099, 4.71998",mallar3,1
2022/03/24,Netherlands,Eindhoven,mallar3,1
2022/03/25,Netherlands,Houten--Plas Laagraven,mallar3,2
2022/03/26,Netherlands,Oostburg -- Sophiapolder,mallar3,50
2022/03/27,Netherlands,Rammelwaard,mallar3,6
2022/03/28,Netherlands,De Plate,mallar3,2
2022/03/29,Netherlands,De Plate,mallar3,1
2022/03/30,Netherlands,De Plate,mallar3,2
2022/03/31,Netherlands,Zoetermeer--De Nieuwe Driemanspolder,mallar3,7
2023/03/01,Netherlands,Schoorkuilen,mallar3,2
2023/03/02,Netherlands,Weerterbos--Laarderheide,mallar3,6
2023/03/03,Netherlands,Wilhelminapark,mallar3,4
2023/03/04,Netherlands,Kwade Hoek--Strandje Stellendam,mallar3,1
2023/03/05,Netherlands,Zoetermeer--De Nieuwe Driemanspolder,mallar3,5
2023/03/06,Netherlands,"Weerribben 63, Lelystad NL-Flevoland 52.49478, 5.41159",mallar3,3
2023/03/07,Netherlands,Nieuwe Ooster,mallar3,1
2023/03/08,Netherlands,"Weerribben 63, Lelystad NL-Flevoland 52.49478, 5.41159",mallar3,2
2023/03/09,Netherlands,Lelystad--Het Bovenwater,mallar3,2
2023/03/10,Netherlands,"Weerribben 63, Lelystad NL-Flevoland 52.49505, 5.41161",mallar3,2
2023/03/11,Netherlands,"Lemferdingerlaan, Eelde, Drenthe, NL (53,142, 6,581)",mallar3,2
2023/03/12,Netherlands,De Strengen,mallar3,3
2023/03/13,Netherlands,Natuurreservaat De Meren,mallar3,7
2023/03/14,Netherlands,Amsterdam--Noorderpark,mallar3,8
2023/03/15,Netherlands,Sint Kruis Kreek,mallar3,14
2023/03/16,Netherlands,Sint-Oedenrode--Dommelpark,mallar3,2
2023/03/17,Netherlands,Vondelpark,mallar3,6
2023/03/18,Netherlands,Amsterdamse Waterleidingduinen,mallar3,1
2023/03/19,Netherlands,"TU Delft, 5 Mekelweg, Delft, Zuid-Holland, NL (52.002, 4.374)",mallar3,16
2023/03/20,Netherlands,Klompenpad Heteren,mallar3,9
2023/03/21,Netherlands,"36 Aerdtsedijk, Aerdt, Gelderland, NL (51,898, 6,064)",mallar3,5
2023/03/22,Netherlands,"Park Randenbroek, Amersfoort NL-Utrecht (52.1495,5.3987)",mallar3,4
2023/03/23,Netherlands,Oldenhof 3,mallar3,2
2023/03/24,Netherlands,Ouderkerkerplas,mallar3,5
2023/03/25,Netherlands,"TU Delft, 5 Mekelweg, Delft, Zuid-Holland, NL (52.002, 4.374)",mallar3,13
2023/03/26,Netherlands,Sint Kruis Kreek,mallar3,6
2023/03/27,Netherlands,Gennep--Niers,mallar3,11
2023/03/28,Netherlands,"1A Nederwaard, Kinderdijk, Zuid-Holland, NL (51,888, 4,638)",mallar3,10
2023/03/29,Netherlands,Oostburg -- Sophiapolder,mallar3,40
2023/03/30,Netherlands,Natuur begraafplaats schoorsveld,mallar3,1
2023/03/31,Netherlands,"Ens, Wandelpad Noordoostpolder",mallar3,1
2024/03/01,Netherlands,"10 Klepperduindreef, Ouddorp, Zuid-Holland, NL (51,82, 3,901)",mallar3,1
2024/03/02,Netherlands,"Korneel Slootmanslaan, Bergen op Zoom, Noord-Brabant, NL (51,498, 4,293)",mallar3,2
2024/03/03,Netherlands,"1 Kolonel Sneepweg, Bergen, Noord-Holland, NL (52,643, 4,698)",mallar3,1
2024/03/04,Netherlands,Sliedrechtse Biesbosch,mallar3,1
2024/03/05,Netherlands,Sint Kruis Kreek,mallar3,15
2024/03/06,Netherlands,Sint Kruis Kreek,mallar3,20
2024/03/07,Netherlands,Oostburg -- Sophiapolder,mallar3,70
2024/03/08,Netherlands,"Anne Frankplantsoen, Eindhoven",mallar3,6
2024/03/09,Netherlands,"1 Treeswijklaan, Waalre, Noord-Brabant, NL (51.377, 5.46)",mallar3,6
2024/03/10,Netherlands,Stadswandelpark Eindhoven,mallar3,2
2024/03/11,Netherlands,Rotonde de Geer,mallar3,4
2024/03/12,Netherlands,"Zevenbergseweg - Park Wildbaan - Beverdam, Etten-Leur NL-Brabant",mallar3,4
2024/03/13,Netherlands,Haarrijnseplas,mallar3,1
2024/03/14,Netherlands,"51C Westerweg, Heiloo, Noord-Holland, NL (52,615, 4,721)",mallar3,1
2024/03/15,Netherlands,Velperwaarden,mallar3,1
2024/03/16,Netherlands,"Rammelwaard, Voorst NL-Gelderland (52.1763,6.1880)",mallar3,1
2024/03/17,Netherlands,Poelgeestpolder,mallar3,1
2024/03/18,Netherlands,"Oude Turfvaart, Sprundel - Etten-Leur NL-Brabant",mallar3,12
2024/03/19,Netherlands,Sint Kruis Kreek,mallar3,7
2024/03/20,Netherlands,Sint Kruis Kreek,mallar3,25
2024/03/21,Netherlands,Sint Kruis Kreek,mallar3,15
2024/03/22,Netherlands,Houten,mallar3,1
2024/03/23,Netherlands,Waspik - Raamsdonk NL-Brabant,mallar3,6
2024/03/24,Netherlands,Sint Kruis Kreek,mallar3,15
2024/03/25,Netherlands,"Leeuwarderbos, Leeuwarden",mallar3,1
2024/03/26,Netherlands,Sint Kruis Kreek,mallar3,15
2024/03/27,Netherlands,Amsterdam--Algemeen (Amsterdam--General Area),mallar3,4
2024/03/28,Netherlands,Kruisbeek,mallar3,1
2024/03/29,Netherlands,"23 Olympisch Stadion, Amsterdam, Noord-Holland, NL (52,343, 4,854)",mallar3,5
2024/03/30,Netherlands,"10 Europaboulevard, Amsterdam, Noord-Holland, NL (52.334, 4.888)",mallar3,2
2024/03/31,Netherlands,Tiengeboden,mallar3,1
2020/03/01,Germany,Bernkastel,mallar3,3
2020/03/02,Germany,"Waging am See, Strandbad",mallar3,17
2020/03/03,Germany,"Lindenufer, Berlin-Spandau",mallar3,34
2020/03/04,Germany,"Kinzig, Willstätt",mallar3,4
2020/03/05,Germany,"Grüne Mitte, Essen",mallar3,14
2020/03/06,Germany,"11 Burgstraße, Bienenbüttel, Niedersachsen, DE (53.131, 10.514)",mallar3,4
2020/03/07,Germany,"Oberer Mühlbach, Offenburg",mallar3,2
2020/03/08,Germany,Lehmgrube Reimersgrün (Flächennaturdenkmal),mallar3,4
2020/03/09,Germany,Eittinger Weiher (Vogelfreistätte),mallar3,1
2020/03/10,Germany,"Obermainanlage, Frankfurt am Main",mallar3,12
2020/03/11,Germany,"Isar Auwald, Landshut",mallar3,2
2020/03/12,Germany,"Vilshofen an der Donau, Bayern, DE (48,607, 13,131)",mallar3,5
2020/03/13,Germany,Baggersee Königshütte,mallar3,4
2020/03/14,Germany,Sacker Schnepfensumpf,mallar3,2
2020/03/15,Germany,Ammersee--Ammer Zufluss,mallar3,6
2020/03/16,Germany,DE-Hamburg-Klövensteen,mallar3,2
2020/03/17,Germany,Taubergießen (NSG),mallar3,12
2020/03/18,Germany,Tegernsee (gesamt),mallar3,6
2020/03/19,Germany,Salzwiese Ladebow,mallar3,1
2020/03/20,Germany,Osthafen Oldenburg/Kläranlage und Beverbäke,mallar3,1
2020/03/21,Germany,"Rebstockpark, Frankfurt am Main",mallar3,5
2020/03/22,Germany,"100 Henri-Dunant-Straße, Erlangen, Bayern, DE (49,57, 11,01)",mallar3,2
2020/03/23,Germany,"Isar Auwald, Landshut",mallar3,3
2020/03/24,Germany,Emma-Süd (BY),mallar3,2
2020/03/25,Germany,Dechsendorfer Weihergebiet (Landschaftsschutzgebiet),mallar3,4
2020/03/26,Germany,Waidsee,mallar3,7
2020/03/27,Germany,Tuningen,mallar3,1
2020/03/28,Germany,Oberzeitldorn (Donau & Feldflur),mallar3,2
2020/03/29,Germany,Beltringharder Koog (NSG)--Arlau Schleuse,mallar3,10
2020/03/30,Germany,Otterwisch,mallar3,4
2020/03/31,Germany,"Westpark, München",mallar3,1
2021/03/01,Germany,"Germany, Lippstadt - Lippe (""Cormorant island"" Im Stiftsmersch)",mallar3,3
2021/03/02,Germany,Freisinger Moos (gesamt),mallar3,2
2021/03/03,Germany,Knielinger See,mallar3,6
2021/03/04,Germany,Baggerseen Riedschreinerhof,mallar3,4
2021/03/05,Germany,Ochtumniederung bei Brokhuchting (NSG)--Polder Brokhuchting,mallar3,12
2021/03/06,Germany,"Germany, Lippstadt - Hellinghausen (Pastorat - Mersch)",mallar3,4
2021/03/07,Germany,"Backhausteich, Kranichstein",mallar3,3
2021/03/08,Germany,"Rohrauer Straße, Nufringen, Baden-Württemberg, DE (48,623, 8,908)",mallar3,5
2021/03/09,Germany,Zwenkauer See,mallar3,5
2021/03/10,Germany,"Germany, Lippstadt - Lippe (Am Siek: conjunction between Schiffahrtskanal and the Lippe)",mallar3,2
2021/03/11,Germany,Rückhaltebecken Stöhna (NSG),mallar3,1
2021/03/12,Germany,Karower Teiche (NSG),mallar3,1
2021/03/13,Germany,Elster-Pleiße-Auwald (NSG),mallar3,11
2021/03/14,Germany,Saalbachniederung,mallar3,1
2021/03/15,Germany,"Germany, Lippstadt - Lippe (""Cormorant island"" Im Stiftsmersch)",mallar3,2
2021/03/16,Germany,"18 Industriestraße, Leipzig, Sachsen, DE (51.325, 12.343)",mallar3,3
2021/03/17,Germany,"Germany, Lippstadt - Jahnsportgelände / Jahnplatz (Städt. Sportanlagen)",mallar3,4
2021/03/18,Germany,Baggerteiche Niederwalgern,mallar3,20
2021/03/19,Germany,"Germany, Lippstadt - Benninghausen (Mersch Anglerweg)",mallar3,34
2021/03/20,Germany,Denisweg (FFM),mallar3,3
2021/03/21,Germany,Ammersee--Binnensee (NSG),mallar3,1
2021/03/22,Germany,"OL-Donnerschwee, Wasserturm, Sportplatz,Wäldchen und Umgebung",mallar3,1
2021/03/23,Germany,Flotzgrün (NSG)--Nordteil,mallar3,4
2021/03/24,Germany,Sacker Schnepfensumpf,mallar3,2
2021/03/25,Germany,"Grüne Mitte, Essen",mallar3,2
2021/03/26,Germany,Mühlendammschleuse,mallar3,5
2021/03/27,Germany,Haselbacher Teiche (NSG) (SN),mallar3,1
2021/03/28,Germany,Baggerseen Riedschreinerhof,mallar3,1
2021/03/29,Germany,"Außerhalb, Monsheim DE-Rheinland-Pfalz 49.63279, 8.23996",mallar3,8
2021/03/30,Germany,"Grüne Mitte, Essen",mallar3,5
2021/03/31,Germany,"Nuthe-Park, Potsdam",mallar3,4
2022/03/01,Germany,Salbruch (NSG)--Damoklesteich,mallar3,4
2022/03/02,Germany,Mainaue bei Sulzbach und Kleinwallstädt (NSG),mallar3,5
2022/03/03,Germany,"Untere Heide und Lustgarten, Kalchreuth",mallar3,2
2022/03/04,Germany,Zoologischer Garten,mallar3,9
2022/03/05,Germany,"Legionsweg 16, Bonn DE-North Rhine-Westphalia (50.7520,7.1014)",mallar3,10
2022/03/06,Germany,"Schloss Schönborn, Heusenstamm",mallar3,5
2022/03/07,Germany,Rieselfelder Windel (NSG),mallar3,1
2022/03/08,Germany,Greifswald Industriegebiet Süd,mallar3,1
2022/03/09,Germany,Elsterbecken Nord,mallar3,2
2022/03/10,Germany,Rieselfelder Braunschweig,mallar3,1
2022/03/11,Germany,"Kahl, Alzenau",mallar3,2
2022/03/12,Germany,Mainaue bei Sulzbach und Kleinwallstädt (NSG),mallar3,1
2022/03/13,Germany,"38 Erlenbacher Straße, Elsenfeld, Bayern, DE (49,833, 9,158)",mallar3,34
2022/03/14,Germany,Mainaue bei Sulzbach und Kleinwallstädt (NSG),mallar3,2
2022/03/15,Germany,MOS Roberner See,mallar3,6
2022/03/16,Germany,Mosel und Moselufer an der Frohnbachmündung,mallar3,6
2022/03/17,Germany,Scheuerbach,mallar3,1
2022/03/18,Germany,"Prestelsee, Graben-Neudorf DE-Baden-Württemberg 49.17035, 8.49144",mallar3,13
2022/03/19,Germany,Versmolder Bruch (NSG),mallar3,100
2022/03/20,Germany,"Prestelsee, Graben-Neudorf DE-Baden-Württemberg 49.17035, 8.49144",mallar3,4
2022/03/21,Germany,"Wiesengrund, Erlangen",mallar3,13
2022/03/22,Germany,Niedernberger Seen,mallar3,13
2022/03/23,Germany,Garten,mallar3,5
2022/03/24,Germany,Schlosspark Aschaffenburg,mallar3,4
2022/03/25,Germany,"Ivendorfer Landstraße, Lübeck, Schleswig-Holstein, DE (53.943, 10.848)",mallar3,1
2022/03/26,Germany,Enger Bruch (NSG),mallar3,1
2022/03/27,Germany,Feldlache Gärnitz,mallar3,10
2022/03/28,Germany,Feldlache Gärnitz,mallar3,18
2022/03/29,Germany,Scheuerbach,mallar3,1
2022/03/30,Germany,Fauler See (NSG),mallar3,8
2022/03/31,Germany,Sacker Schnepfensumpf,mallar3,2
2023/03/01,Germany,"Rosental, Leipzig",mallar3,1
2023/03/02,Germany,Froschgrundsee,mallar3,80
2023/03/03,Germany,Planegg Würm,mallar3,17
2023/03/04,Germany,Werderinsel,mallar3,1
2023/03/05,Germany,Gonsbachtal,mallar3,1
2023/03/06,Germany,Oldenburger See und Umgebung (NSG),mallar3,5
2023/03/07,Germany,"Oberer Schlossgarten, Stuttgart",mallar3,14
2023/03/08,Germany,"Oberer Schlossgarten, Stuttgart",mallar3,12
2023/03/09,Germany,"Seepark, Freiburg",mallar3,2
2023/03/10,Germany,"Blaues Wunder, Dresden",mallar3,20
2023/03/11,Germany,Staustufe Besigheim,mallar3,3
2023/03/12,Germany,"Weiherwald, Karlsruhe",mallar3,3
2023/03/13,Germany,Englischer Garten--Kleinhesseloher See,mallar3,12
2023/03/14,Germany,"Oberer Schlossgarten, Stuttgart",mallar3,8
2023/03/15,Germany,"Oberer Schlossgarten, Stuttgart",mallar3,13
2023/03/16,Germany,"Oberer Schlossgarten, Stuttgart",mallar3,7
2023/03/17,Germany,Caputh,mallar3,5
2023/03/18,Germany,"85376, Freising DE-Bayern (48.3668,11.6836)",mallar3,2
2023/03/19,Germany,"Brentanoanlage, Kranichstein",mallar3,16
2023/03/20,Germany,Am Cash,mallar3,2
2023/03/21,Germany,Saalbachniederung,mallar3,1
2023/03/22,Germany,"87 Altstraße, Essen, Nordrhein-Westfalen, DE (51,462, 6,935)",mallar3,2
2023/03/23,Germany,Ammersee--Anleger Herrsching,mallar3,2
2023/03/24,Germany,Regenrückhaltebecken Anrath,mallar3,2
2023/03/25,Germany,Echinger Stausee,mallar3,1
2023/03/26,Germany,"Englischer Garten--Südteil, München",mallar3,4
2023/03/27,Germany,Aschborn und Uderborn bei Rödgen (NSG),mallar3,2
2023/03/28,Germany,Windknollen (NSG),mallar3,2
2023/03/29,Germany,"Aubachpark, Regensburg",mallar3,1
2023/03/30,Germany,"Born, Oldenburg",mallar3,1
2023/03/31,Germany,Au - Steppach (Wiesenbrüterschutzgebiet),mallar3,4
2024/03/01,Germany,"24 Dr.-Alban-Straße, Plau am See, Mecklenburg-Vorpommern, DE (53,456, 12,254)",mallar3,15
2024/03/02,Germany,Görsdorfer Heide (NSG),mallar3,2
2024/03/03,Germany,"Untere Heide und Lustgarten, Kalchreuth",mallar3,3
2024/03/04,Germany,Hafen Friedrichshafen,mallar3,1
2024/03/05,Germany,Schlosspark Nymphenburg,mallar3,5
2024/03/06,Germany,Naturpark Weltenburger Enge,mallar3,1
2024/03/07,Germany,"Mündesee, Angermünde",mallar3,29
2024/03/08,Germany,Kuhsee,mallar3,10
2024/03/09,Germany,Altstadt Quedlinburg,mallar3,1
2024/03/10,Germany,"L228, Harkerode, Sachsen-Anhalt, DE (51,682, 11,392)",mallar3,2
2024/03/11,Germany,"41 bis 91 Kalkofen, Plau am See, Mecklenburg-Vorpommern, DE (53,461, 12,273)",mallar3,8
2024/03/12,Germany,"Oberer Schlossgarten, Stuttgart",mallar3,10
2024/03/13,Germany,Wilmersdorf: Feldflur 2 (MsB-Re),mallar3,2
2024/03/14,Germany,Tuningen,mallar3,2
2024/03/15,Germany,"Hörnleinsburg (Weiler), Schalkau",mallar3,4
2024/03/16,Germany,Rückhaltebecken Wengerohr mit Ausgleichsflächen,mallar3,5
2024/03/17,Germany,"Frühlingstraße, Freising",mallar3,1
2024/03/18,Germany,Klenzepark Ingolstadt,mallar3,9
2024/03/19,Germany,"Oberer Schlossgarten, Stuttgart",mallar3,12
2024/03/20,Germany,Landschaftspark Cospuden--Waldsee Lauer,mallar3,2
2024/03/21,Germany,Rethener Ostfelder und Bruchrieder Wald,mallar3,8
2024/03/22,Germany,"Günther-Klotz-Anlage, Karlsruhe",mallar3,10
2024/03/23,Germany,"60 Ellenbacher Straße, Fürth, Hessen, DE (49,655, 8,772), Ellenbacher Rückhaltebecken.",mallar3,3
2024/03/24,Germany,"Wäldchen am Pophankenweg, Oldenburg",mallar3,1
2024/03/25,Germany,Teich Moorhausen,mallar3,1
2024/03/26,Germany,Cospudener See--Südost-Bereich,mallar3,8
2024/03/27,Germany,"41 bis 91 Kalkofen, Plau am See, Mecklenburg-Vorpommern, DE (53,461, 12,273)",mallar3,4
2024/03/28,Germany,"Berliner Straße, Herrenberg",mallar3,1
2024/03/29,Germany,Wiebach Teich,mallar3,6
2024/03/30,Germany,"Gimritzer Park, Halle an der Saale",mallar3,2
2024/03/31,Germany,"Steinfeld (Oldenburg)--Verbindungsstraße (52,58, 8,168)",mallar3,1
2020/03/01,France,Hotel Musee de l’eau- Pont-en-Royans,mallar3,5
2020/03/02,France,Usine-Écluse et pont routier de Vaugris,mallar3,4
2020/03/03,France,Rue du Bois Breton,mallar3,1
2020/03/04,France,"Unnamed Road, Limony, Auvergne-Rhône-Alpes, FR (45,354, 4,768)",mallar3,8
2020/03/05,France,"8 Rue Marcel Pagnol, Saint-Maurice-l'Exil, Auvergne-Rhône-Alpes, FR (45,395, 4,764)",mallar3,1
2020/03/06,France,Rue du Bois Breton,mallar3,1
2020/03/07,France,Rue du Bois Breton,mallar3,3
2020/03/08,France,"Le Compas, Monthodon",mallar3,2
2020/03/09,France,Linden Hubmatt,mallar3,4
2020/03/10,France,"Unnamed Road, Limony, Auvergne-Rhône-Alpes, FR (45,354, 4,768)",mallar3,2
2020/03/11,France,Marais des Bidonnes,mallar3,3
2020/03/12,France,"Résidence Le Val Pêcheur, Gif-sur-Yvette FR-Île-de-France (48.6988,2.1467)",mallar3,30
2020/03/13,France,Rue du Bois Breton,mallar3,1
2020/03/14,France,"Costo dat Salatch, St.-Lizier FR-Midi-Pyrénées (42.9959,1.1376)",mallar3,3
2020/03/15,France,Ried de l'Ill à Muttersholtz,mallar3,6
2020/03/16,France,Rue du Bois Breton,mallar3,1
2020/03/17,France,Domaine de la Galinière,mallar3,1
2020/03/18,France,Arles (ville),mallar3,3
2020/03/19,France,Arles (ville),mallar3,2
2020/03/20,France,"13 Avenue des Tamarins la Franqui, Leucate, Occitanie, FR (42,939, 3,026)",mallar3,2
2020/03/21,France,"D907, Thoiras FR-Languedoc-Roussillon (44,0737,3,9420)",mallar3,2
2020/03/22,France,Arles (ville),mallar3,1
2020/03/23,France,Rue du Docteur Touillon,mallar3,2
2020/03/24,France,"9 Chemin de Saint-Sernin, Villenouvelle, Occitanie, FR (43,439, 1,668)",mallar3,1
2020/03/25,France,Lagny-sur-Marne (ville),mallar3,5
2020/03/26,France,Moulignon,mallar3,7
2020/03/27,France,Domaine de la Galinière,mallar3,2
2020/03/28,France,Rue du Docteur Touillon,mallar3,3
2020/03/29,France,Compiègne (ville),mallar3,1
2020/03/30,France,"Unnamed Road, Mitry-Mory, Île-de-France, FR (48,955, 2,643)",mallar3,1
2020/03/31,France,La Béthune (Neufchâtel-en-Bray),mallar3,6
2021/03/01,France,digue,mallar3,5
2021/03/02,France,"Unnamed Road, Limony, Auvergne-Rhône-Alpes, FR (45,354, 4,768)",mallar3,5
2021/03/03,France,"14 Bransquel, Pluneret, Bretagne, FR (47,654, -2,94)",mallar3,2
2021/03/04,France,Chapelle Saint-Adrien,mallar3,4
2021/03/05,France,Camargue--Marais du Mas d'Agon,mallar3,2
2021/03/06,France,"4 Ruelle du Cagnard, Bernay, Normandie, FR (49.091, 0.596)",mallar3,6
2021/03/07,France,"Unnamed Road, Vauvert, Occitanie, FR (43,643, 4,328)",mallar3,2
2021/03/08,France,Camargue--Marais de Cacharel,mallar3,5
2021/03/09,France,Bois des Naix,mallar3,18
2021/03/10,France,"Barthes de Munho, Urt, Nouvelle-Aquitaine, FR (43,499, -1,26)",mallar3,3
2021/03/11,France,Les Olivettes (Trilbardou),mallar3,1
2021/03/12,France,La Brenne--Étang de Piégu,mallar3,5
2021/03/13,France,Urpar,mallar3,4
2021/03/14,France,Rue du Bois Breton,mallar3,1
2021/03/15,France,Marais de Sainte Avoye,mallar3,2
2021/03/16,France,Bassin des Musards,mallar3,10
2021/03/17,France,Les Salines de Saint-Suliac,mallar3,2
2021/03/18,France,"Unnamed Road, Limony, Auvergne-Rhône-Alpes, FR (45,354, 4,768)",mallar3,4
2021/03/19,France,Camargue--Enfores de la Vignolle,mallar3,10
2021/03/20,France,"4 Ruelle du Cagnard, Bernay, Normandie, FR (49.091, 0.596)",mallar3,2
